"","ActivityStartDate","CharacteristicName","ResultMeasureValue","ResultMeasure.MeasureUnitCode"
"4533",2008,"Phosphate-phosphorus","0.116","mg/l"
"4537",2008,"Phosphate-phosphorus","0.038","mg/l"
"4540",2010,"Phosphate-phosphorus","0.070","mg/l"
"4543",2009,"Phosphate-phosphorus","0.070","mg/l"
"4570",1991,"Phosphate-phosphorus","0.10","mg/l"
"4573",1991,"Phosphate-phosphorus","0.097","mg/l"
"4583",1994,"Phosphate-phosphorus","0.049","mg/l"
"4588",1992,"Phosphate-phosphorus","0.114","mg/l"
"4592",1994,"Phosphate-phosphorus","0.1250","mg/l"
"4605",1992,"Phosphate-phosphorus","0.034","mg/l"
"4609",1995,"Phosphate-phosphorus","0.023","mg/l"
"4610",1992,"Phosphate-phosphorus","0.35","mg/l"
"4612",1993,"Phosphate-phosphorus","0.27","mg/l"
"4622",2009,"Phosphate-phosphorus","0.160","mg/l"
"4634",2013,"Phosphate-phosphorus","0.0664","mg/l"
"4638",2013,"Phosphate-phosphorus","0.0325","mg/l"
"4641",2013,"Phosphate-phosphorus","0.0268","mg/l"
"4649",2014,"Phosphate-phosphorus","0.122","mg/l"
"4714",2015,"Phosphate-phosphorus","0.0272","mg/l"
"4722",2016,"Phosphate-phosphorus","0.0225","mg/l"
"4724",2014,"Phosphate-phosphorus","0.0426","mg/l"
"4725",2014,"Phosphate-phosphorus","0.124","mg/l"
"4726",2014,"Phosphate-phosphorus","0.0613","mg/l"
"4777",2017,"Phosphate-phosphorus","0.104","mg/l"
"4779",2020,"Phosphate-phosphorus","0.167","mg/l"
"4782",2019,"Phosphate-phosphorus","0.0503","mg/l"
"4845",2002,"Phosphate-phosphorus","0.148","mg/l"
"4850",1997,"Phosphate-phosphorus","0.121","mg/l"
"4853",1997,"Phosphate-phosphorus","0.104","mg/l"
"4856",1999,"Phosphate-phosphorus","0.134","mg/l"
"4858",2006,"Phosphate-phosphorus","0.129","mg/l"
"4869",2003,"Phosphate-phosphorus","0.089","mg/l"
"4872",2002,"Phosphate-phosphorus","0.101","mg/l"
"4889",1997,"Phosphate-phosphorus","0.126","mg/l"
"4901",2002,"Phosphate-phosphorus","0.100","mg/l"
"4904",2001,"Phosphate-phosphorus","0.690","mg/l"
"4907",2000,"Phosphate-phosphorus","0.137","mg/l"
"4910",1996,"Phosphate-phosphorus","0.104","mg/l"
"4913",2009,"Phosphate-phosphorus","0.334","mg/l"
"4922",2007,"Phosphate-phosphorus","0.073","mg/l"
"4924",2007,"Phosphate-phosphorus","0.067","mg/l"
"4939",2010,"Phosphate-phosphorus","0.226","mg/l"
"4945",2010,"Phosphate-phosphorus","0.056","mg/l"
"4972",1990,"Phosphate-phosphorus","0.070","mg/l"
"4973",2014,"Phosphate-phosphorus","0.390","mg/l"
"4979",2014,"Phosphate-phosphorus","0.0430","mg/l"
"4985",1990,"Phosphate-phosphorus","0.033","mg/l"
"4990",1991,"Phosphate-phosphorus","0.017","mg/l"
"4993",1994,"Phosphate-phosphorus","0.084","mg/l"
"4997",1991,"Phosphate-phosphorus","0.21","mg/l"
"5003",1994,"Phosphate-phosphorus","0.149","mg/l"
"5008",1994,"Phosphate-phosphorus","0.181","mg/l"
"5012",2012,"Phosphate-phosphorus","0.066","mg/l"
"5017",2013,"Phosphate-phosphorus","0.0379","mg/l"
"5077",2015,"Phosphate-phosphorus","0.156","mg/l"
"5080",2019,"Phosphate-phosphorus","0.184","mg/l"
"5084",2016,"Phosphate-phosphorus","0.0392","mg/l"
"5087",2014,"Phosphate-phosphorus","0.0541","mg/l"
"5088",2014,"Phosphate-phosphorus","0.135","mg/l"
"5089",2014,"Phosphate-phosphorus","0.0488","mg/l"
"5097",2017,"Phosphate-phosphorus","0.0474","mg/l"
"5119",2019,"Phosphate-phosphorus","0.101","mg/l"
"5140",2002,"Phosphate-phosphorus","0.076","mg/l"
"5145",2004,"Phosphate-phosphorus","0.071","mg/l"
"5148",2005,"Phosphate-phosphorus","0.121","mg/l"
"5157",2002,"Phosphate-phosphorus","0.024","mg/l"
"5158",2004,"Phosphate-phosphorus","0.145","mg/l"
"5167",2001,"Phosphate-phosphorus","0.134","mg/l"
"5172",2000,"Phosphate-phosphorus","0.112","mg/l"
"5192",2004,"Phosphate-phosphorus","0.021","mg/l"
"5197",2000,"Phosphate-phosphorus","0.050","mg/l"
"5201",1998,"Phosphate-phosphorus","0.020","mg/l"
"5209",2002,"Phosphate-phosphorus","0.077","mg/l"
"5211",1997,"Phosphate-phosphorus","0.177","mg/l"
"5244",2007,"Phosphate-phosphorus","0.160","mg/l"
"5249",2011,"Phosphate-phosphorus","0.068","mg/l"
"5287",2009,"Phosphate-phosphorus","0.048","mg/l"
"5302",2010,"Phosphate-phosphorus","0.034","mg/l"
"5313",1988,"Phosphate-phosphorus","0.018","mg/l"
"5320",1989,"Phosphate-phosphorus","0.079","mg/l"
"5324",1989,"Phosphate-phosphorus","0.042","mg/l"
"5339",1991,"Phosphate-phosphorus","0.053","mg/l"
"5345",1993,"Phosphate-phosphorus","0.158","mg/l"
"5347",1992,"Phosphate-phosphorus","0.057","mg/l"
"5350",1994,"Phosphate-phosphorus","0.060","mg/l"
"5353",1992,"Phosphate-phosphorus","0.19","mg/l"
"5355",1991,"Phosphate-phosphorus","0.030","mg/l"
"5358",1993,"Phosphate-phosphorus","0.37","mg/l"
"5361",1993,"Phosphate-phosphorus","0.52","mg/l"
"5363",1994,"Phosphate-phosphorus","0.0590","mg/l"
"5364",1994,"Phosphate-phosphorus","0.172","mg/l"
"5377",1995,"Phosphate-phosphorus","0.042","mg/l"
"5382",2010,"Phosphate-phosphorus","0.034","mg/l"
"5385",2012,"Phosphate-phosphorus","0.025","mg/l"
"5394",2013,"Phosphate-phosphorus","0.170","mg/l"
"5400",2013,"Phosphate-phosphorus","0.206","mg/l"
"5403",2013,"Phosphate-phosphorus","0.0897","mg/l"
"5413",2014,"Phosphate-phosphorus","0.0837","mg/l"
"5416",2014,"Phosphate-phosphorus","0.0253","mg/l"
"5468",2014,"Phosphate-phosphorus","0.117","mg/l"
"5470",2016,"Phosphate-phosphorus","0.0235","mg/l"
"5487",2018,"Phosphate-phosphorus","0.0186","mg/l"
"5492",2018,"Phosphate-phosphorus","0.147","mg/l"
"5496",2019,"Phosphate-phosphorus","0.0978","mg/l"
"5519",2003,"Phosphate-phosphorus","0.126","mg/l"
"5527",2007,"Phosphate-phosphorus","0.130","mg/l"
"5537",2006,"Phosphate-phosphorus","0.136","mg/l"
"5551",1998,"Phosphate-phosphorus","0.045","mg/l"
"5564",1999,"Phosphate-phosphorus","0.121","mg/l"
"5573",2009,"Phosphate-phosphorus","0.570","mg/l"
"5576",2007,"Phosphate-phosphorus","0.080","mg/l"
"5587",2007,"Phosphate-phosphorus","0.201","mg/l"
"5589",2007,"Phosphate-phosphorus","0.045","mg/l"
"5612",2012,"Phosphate-phosphorus","0.058","mg/l"
"5632",2010,"Phosphate-phosphorus","0.126","mg/l"
"5637",2009,"Phosphate-phosphorus","0.076","mg/l"
"5647",2011,"Phosphate-phosphorus","0.093","mg/l"
"5659",1989,"Phosphate-phosphorus","0.40","mg/l"
"5661",1990,"Phosphate-phosphorus","0.45","mg/l"
"5667",1991,"Phosphate-phosphorus","0.081","mg/l"
"5671",1990,"Phosphate-phosphorus","0.157","mg/l"
"5677",1991,"Phosphate-phosphorus","0.034","mg/l"
"5681",1993,"Phosphate-phosphorus","0.11","mg/l"
"5688",1993,"Phosphate-phosphorus","0.124","mg/l"
"5692",1991,"Phosphate-phosphorus","0.12","mg/l"
"5694",1992,"Phosphate-phosphorus","0.111","mg/l"
"5700",1994,"Phosphate-phosphorus","0.432","mg/l"
"5706",1992,"Phosphate-phosphorus","0.110","mg/l"
"5709",1995,"Phosphate-phosphorus","0.134","mg/l"
"5712",1995,"Phosphate-phosphorus","0.133","mg/l"
"5714",1993,"Phosphate-phosphorus","0.129","mg/l"
"5717",1995,"Phosphate-phosphorus","0.364","mg/l"
"5732",2012,"Phosphate-phosphorus","0.118","mg/l"
"5734",2012,"Phosphate-phosphorus","0.064","mg/l"
"5741",2014,"Phosphate-phosphorus","0.299","mg/l"
"5785",2015,"Phosphate-phosphorus","0.108","mg/l"
"5796",2016,"Phosphate-phosphorus","0.0217","mg/l"
"5800",2014,"Phosphate-phosphorus","0.0647","mg/l"
"5830",2017,"Phosphate-phosphorus","0.0873","mg/l"
"5834",2018,"Phosphate-phosphorus","0.0819","mg/l"
"5883",2001,"Phosphate-phosphorus","0.369","mg/l"
"5896",2004,"Phosphate-phosphorus","0.089","mg/l"
"5915",2005,"Phosphate-phosphorus","0.302","mg/l"
"5919",1996,"Phosphate-phosphorus","0.11","mg/l"
"5924",2003,"Phosphate-phosphorus","0.084","mg/l"
"5932",2003,"Phosphate-phosphorus","0.122","mg/l"
"5938",1999,"Phosphate-phosphorus","0.135","mg/l"
"5946",1996,"Phosphate-phosphorus","0.155","mg/l"
"5951",1996,"Phosphate-phosphorus","0.054","mg/l"
"5953",1998,"Phosphate-phosphorus","0.331","mg/l"
"5954",1998,"Phosphate-phosphorus","0.471","mg/l"
"5960",2003,"Phosphate-phosphorus","0.020","mg/l"
"5963",2003,"Phosphate-phosphorus","0.046","mg/l"
"5967",2000,"Phosphate-phosphorus","0.079","mg/l"
"5984",2007,"Phosphate-phosphorus","0.028","mg/l"
"6002",2007,"Phosphate-phosphorus","0.072","mg/l"
"6005",2011,"Phosphate-phosphorus","0.022","mg/l"
"6019",2008,"Phosphate-phosphorus","0.137","mg/l"
"6021",2014,"Phosphate-phosphorus","0.0220","mg/l"
"6028",2009,"Phosphate-phosphorus","0.181","mg/l"
"6033",2010,"Phosphate-phosphorus","0.070","mg/l"
"6040",2009,"Phosphate-phosphorus","0.113","mg/l"
"6044",2011,"Phosphate-phosphorus","0.089","mg/l"
"6052",1989,"Phosphate-phosphorus","0.35","mg/l"
"6061",2014,"Phosphate-phosphorus","0.246","mg/l"
"6067",1990,"Phosphate-phosphorus","0.145","mg/l"
"6073",1991,"Phosphate-phosphorus","0.180","mg/l"
"6078",1993,"Phosphate-phosphorus","0.178","mg/l"
"6084",1991,"Phosphate-phosphorus","0.09","mg/l"
"6092",1994,"Phosphate-phosphorus","0.128","mg/l"
"6101",2009,"Phosphate-phosphorus","0.161","mg/l"
"6108",2012,"Phosphate-phosphorus","0.017","mg/l"
"6109",2012,"Phosphate-phosphorus","0.288","mg/l"
"6111",2012,"Phosphate-phosphorus","0.055","mg/l"
"6118",2013,"Phosphate-phosphorus","0.0628","mg/l"
"6122",2014,"Phosphate-phosphorus","0.0299","mg/l"
"6127",2014,"Phosphate-phosphorus","0.0933","mg/l"
"6191",2015,"Phosphate-phosphorus","0.0975","mg/l"
"6194",2016,"Phosphate-phosphorus","0.0699","mg/l"
"6200",2016,"Phosphate-phosphorus","0.0236","mg/l"
"6234",2019,"Phosphate-phosphorus","0.567","mg/l"
"6237",2018,"Phosphate-phosphorus","0.126","mg/l"
"6240",2019,"Phosphate-phosphorus","0.157","mg/l"
"6243",2019,"Phosphate-phosphorus","0.393","mg/l"
"6255",2004,"Phosphate-phosphorus","0.062","mg/l"
"6261",1997,"Phosphate-phosphorus","0.039","mg/l"
"6265",2001,"Phosphate-phosphorus","0.035","mg/l"
"6274",2007,"Phosphate-phosphorus","0.130","mg/l"
"6279",2007,"Phosphate-phosphorus","0.131","mg/l"
"6283",2001,"Phosphate-phosphorus","0.156","mg/l"
"6284",1996,"Phosphate-phosphorus","0.118","mg/l"
"6285",2005,"Phosphate-phosphorus","0.029","mg/l"
"6301",2006,"Phosphate-phosphorus","0.136","mg/l"
"6309",1996,"Phosphate-phosphorus","0.035","mg/l"
"6312",1996,"Phosphate-phosphorus","0.237","mg/l"
"6351",2012,"Phosphate-phosphorus","0.066","mg/l"
"6371",2008,"Phosphate-phosphorus","0.084","mg/l"
"6375",2008,"Phosphate-phosphorus","0.096","mg/l"
"6379",2008,"Phosphate-phosphorus","0.700","mg/l"
"6384",1990,"Phosphate-phosphorus","0.115","mg/l"
"6387",2010,"Phosphate-phosphorus","0.316","mg/l"
"6390",2014,"Phosphate-phosphorus","0.104","mg/l"
"6398",1992,"Phosphate-phosphorus","0.26","mg/l"
"6418",2009,"Phosphate-phosphorus","0.025","mg/l"
"6431",2014,"Phosphate-phosphorus","0.0241","mg/l"
"6506",2017,"Phosphate-phosphorus","0.0576","mg/l"
"6516",2019,"Phosphate-phosphorus","0.0631","mg/l"
"6527",2001,"Phosphate-phosphorus","0.419","mg/l"
"6531",2003,"Phosphate-phosphorus","0.312","mg/l"
"6536",2000,"Phosphate-phosphorus","0.117","mg/l"
"6539",1997,"Phosphate-phosphorus","0.119","mg/l"
"6544",1999,"Phosphate-phosphorus","0.229","mg/l"
"6554",2001,"Phosphate-phosphorus","0.157","mg/l"
"6559",1996,"Phosphate-phosphorus","0.118","mg/l"
"6562",2000,"Phosphate-phosphorus","0.214","mg/l"
"6565",2004,"Phosphate-phosphorus","0.552","mg/l"
"6576",1997,"Phosphate-phosphorus","0.495","mg/l"
"6586",1998,"Phosphate-phosphorus","0.107","mg/l"
"6637",2007,"Phosphate-phosphorus","0.370","mg/l"
"6654",2010,"Phosphate-phosphorus","0.134","mg/l"
"6661",1988,"Phosphate-phosphorus","0.30","mg/l"
"6665",1989,"Phosphate-phosphorus","0.46","mg/l"
"6669",1989,"Phosphate-phosphorus","0.039","mg/l"
"6673",1991,"Phosphate-phosphorus","0.099","mg/l"
"6681",1993,"Phosphate-phosphorus","0.147","mg/l"
"6684",1994,"Phosphate-phosphorus","0.151","mg/l"
"6688",1994,"Phosphate-phosphorus","0.32","mg/l"
"6692",1994,"Phosphate-phosphorus","0.30","mg/l"
"6698",1992,"Phosphate-phosphorus","0.038","mg/l"
"6702",1992,"Phosphate-phosphorus","0.049","mg/l"
"6711",1993,"Phosphate-phosphorus","0.178","mg/l"
"6716",1993,"Phosphate-phosphorus","0.131","mg/l"
"6721",1995,"Phosphate-phosphorus","0.474","mg/l"
"6723",1994,"Phosphate-phosphorus","0.15","mg/l"
"6731",2010,"Phosphate-phosphorus","0.032","mg/l"
"6734",2012,"Phosphate-phosphorus","0.062","mg/l"
"6737",2013,"Phosphate-phosphorus","0.0237","mg/l"
"6752",2015,"Phosphate-phosphorus","0.389","mg/l"
"6791",2015,"Phosphate-phosphorus","0.0283","mg/l"
"6824",2017,"Phosphate-phosphorus","0.0266","mg/l"
"6825",2018,"Phosphate-phosphorus","0.131","mg/l"
"6831",2017,"Phosphate-phosphorus","0.131","mg/l"
"6840",2019,"Phosphate-phosphorus","0.103","mg/l"
"6860",2002,"Phosphate-phosphorus","0.100","mg/l"
"6877",1999,"Phosphate-phosphorus","0.388","mg/l"
"6878",2001,"Phosphate-phosphorus","0.182","mg/l"
"6894",1999,"Phosphate-phosphorus","0.064","mg/l"
"6895",1999,"Phosphate-phosphorus","0.202","mg/l"
"6901",1999,"Phosphate-phosphorus","0.238","mg/l"
"6904",2001,"Phosphate-phosphorus","0.129","mg/l"
"6906",2001,"Phosphate-phosphorus","0.347","mg/l"
"6916",2011,"Phosphate-phosphorus","0.063","mg/l"
"6920",2007,"Phosphate-phosphorus","0.394","mg/l"
"6934",2007,"Phosphate-phosphorus","0.023","mg/l"
"6959",1988,"Phosphate-phosphorus","0.29","mg/l"
"6968",1990,"Phosphate-phosphorus","0.22","mg/l"
"6970",1991,"Phosphate-phosphorus","0.096","mg/l"
"6974",2012,"Phosphate-phosphorus","0.123","mg/l"
"6979",1991,"Phosphate-phosphorus","0.28","mg/l"
"6984",1993,"Phosphate-phosphorus","0.100","mg/l"
"6987",1994,"Phosphate-phosphorus","0.129","mg/l"
"6990",1993,"Phosphate-phosphorus","0.18","mg/l"
"6992",1995,"Phosphate-phosphorus","0.22","mg/l"
"6996",2009,"Phosphate-phosphorus","0.071","mg/l"
"7000",2012,"Phosphate-phosphorus","0.465","mg/l"
"7003",2012,"Phosphate-phosphorus","0.217","mg/l"
"7005",2014,"Phosphate-phosphorus","0.434","mg/l"
"7021",2015,"Phosphate-phosphorus","0.0919","mg/l"
"7042",2017,"Phosphate-phosphorus","0.230","mg/l"
"7046",2017,"Phosphate-phosphorus","0.544","mg/l"
"7048",2016,"Phosphate-phosphorus","0.0377","mg/l"
"7051",2016,"Phosphate-phosphorus","0.0231","mg/l"
"7057",2014,"Phosphate-phosphorus","0.0664","mg/l"
"7058",2014,"Phosphate-phosphorus","0.0821","mg/l"
"7070",2017,"Phosphate-phosphorus","0.104","mg/l"
"7074",2018,"Phosphate-phosphorus","0.0414","mg/l"
"7080",2017,"Phosphate-phosphorus","0.415","mg/l"
"7081",2017,"Phosphate-phosphorus","0.482","mg/l"
"7084",2018,"Phosphate-phosphorus","0.134","mg/l"
"7088",2018,"Phosphate-phosphorus","0.384","mg/l"
"7099",1998,"Phosphate-phosphorus","0.292","mg/l"
"7106",2003,"Phosphate-phosphorus","0.152","mg/l"
"7107",2001,"Phosphate-phosphorus","0.141","mg/l"
"7113",1997,"Phosphate-phosphorus","0.267","mg/l"
"7120",2002,"Phosphate-phosphorus","0.021","mg/l"
"7121",2004,"Phosphate-phosphorus","0.046","mg/l"
"7124",2001,"Phosphate-phosphorus","0.140","mg/l"
"7129",2002,"Phosphate-phosphorus","0.124","mg/l"
"7131",1997,"Phosphate-phosphorus","0.063","mg/l"
"7132",2001,"Phosphate-phosphorus","0.094","mg/l"
"7151",1999,"Phosphate-phosphorus","0.129","mg/l"
"7162",2007,"Phosphate-phosphorus","0.074","mg/l"
"7177",2012,"Phosphate-phosphorus","0.077","mg/l"
"7181",2011,"Phosphate-phosphorus","0.018","mg/l"
"7185",2008,"Phosphate-phosphorus","0.072","mg/l"
"7199",2008,"Phosphate-phosphorus","0.209","mg/l"
"7204",2010,"Phosphate-phosphorus","0.067","mg/l"
"7209",2009,"Phosphate-phosphorus","0.125","mg/l"
"7221",1989,"Phosphate-phosphorus","0.026","mg/l"
"7228",2012,"Phosphate-phosphorus","0.063","mg/l"
"7229",1990,"Phosphate-phosphorus","0.069","mg/l"
"7230",1990,"Phosphate-phosphorus","0.29","mg/l"
"7231",1990,"Phosphate-phosphorus","0.101","mg/l"
"7246",1990,"Phosphate-phosphorus","0.110","mg/l"
"7262",1992,"Phosphate-phosphorus","0.052","mg/l"
"7263",1992,"Phosphate-phosphorus","0.111","mg/l"
"7268",1995,"Phosphate-phosphorus","0.135","mg/l"
"7283",2001,"Phosphate-phosphorus","0.094","mg/l"
"7284",2008,"Phosphate-phosphorus","0.156","mg/l"
"7293",2014,"Phosphate-phosphorus","0.0781","mg/l"
"7297",2014,"Phosphate-phosphorus","0.0985","mg/l"
"7301",2015,"Phosphate-phosphorus","0.245","mg/l"
"7332",2019,"Phosphate-phosphorus","0.0984","mg/l"
"7334",2017,"Phosphate-phosphorus","0.117","mg/l"
"7339",2013,"Phosphate-phosphorus","0.0581","mg/l"
"7350",2014,"Phosphate-phosphorus","0.0294","mg/l"
"7351",2014,"Phosphate-phosphorus","0.0258","mg/l"
"7363",2018,"Phosphate-phosphorus","0.122","mg/l"
"7399",2019,"Phosphate-phosphorus","0.436","mg/l"
"7412",2000,"Phosphate-phosphorus","0.463","mg/l"
"7419",2003,"Phosphate-phosphorus","0.027","mg/l"
"7421",2004,"Phosphate-phosphorus","0.074","mg/l"
"7429",2006,"Phosphate-phosphorus","0.135","mg/l"
"7433",1996,"Phosphate-phosphorus","0.147","mg/l"
"7435",1996,"Phosphate-phosphorus","0.275","mg/l"
"7436",1999,"Phosphate-phosphorus","0.405","mg/l"
"7438",1999,"Phosphate-phosphorus","0.295","mg/l"
"7443",2005,"Phosphate-phosphorus","0.158","mg/l"
"7446",2000,"Phosphate-phosphorus","0.410","mg/l"
"7447",2000,"Phosphate-phosphorus","0.439","mg/l"
"7449",2004,"Phosphate-phosphorus","0.023","mg/l"
"7451",2007,"Phosphate-phosphorus","0.171","mg/l"
"7468",2004,"Phosphate-phosphorus","0.139","mg/l"
"7471",1999,"Phosphate-phosphorus","0.135","mg/l"
"7476",2000,"Phosphate-phosphorus","0.300","mg/l"
"7486",1989,"Phosphate-phosphorus","0.088","mg/l"
"7489",2007,"Phosphate-phosphorus","0.107","mg/l"
"7514",2008,"Phosphate-phosphorus","0.10","mg/l"
"7517",2008,"Phosphate-phosphorus","0.027","mg/l"
"7522",2009,"Phosphate-phosphorus","0.153","mg/l"
"7535",1990,"Phosphate-phosphorus","0.113","mg/l"
"7538",1990,"Phosphate-phosphorus","0.146","mg/l"
"7546",1990,"Phosphate-phosphorus","0.18","mg/l"
"7548",1991,"Phosphate-phosphorus","0.084","mg/l"
"7554",1991,"Phosphate-phosphorus","0.101","mg/l"
"7556",1991,"Phosphate-phosphorus","0.104","mg/l"
"7560",1993,"Phosphate-phosphorus","0.083","mg/l"
"7563",1992,"Phosphate-phosphorus","0.1178","mg/l"
"7568",1994,"Phosphate-phosphorus","0.096","mg/l"
"7572",1994,"Phosphate-phosphorus","0.074","mg/l"
"7579",1993,"Phosphate-phosphorus","0.176","mg/l"
"7588",1993,"Phosphate-phosphorus","0.177","mg/l"
"7592",1993,"Phosphate-phosphorus","0.22","mg/l"
"7597",1993,"Phosphate-phosphorus","0.122","mg/l"
"7600",1995,"Phosphate-phosphorus","0.312","mg/l"
"7603",1993,"Phosphate-phosphorus","0.20","mg/l"
"7605",1992,"Phosphate-phosphorus","0.16","mg/l"
"7619",2013,"Phosphate-phosphorus","0.063","mg/l"
"7621",2013,"Phosphate-phosphorus","0.0264","mg/l"
"7665",2015,"Phosphate-phosphorus","0.0944","mg/l"
"7667",2019,"Phosphate-phosphorus","0.134","mg/l"
"7669",2016,"Phosphate-phosphorus","0.0513","mg/l"
"7670",2014,"Phosphate-phosphorus","0.0420","mg/l"
"7681",2018,"Phosphate-phosphorus","0.0242","mg/l"
"7683",2017,"Phosphate-phosphorus","0.237","mg/l"
"7688",2019,"Phosphate-phosphorus","0.118","mg/l"
"7691",2019,"Phosphate-phosphorus","0.458","mg/l"
"7722",2018,"Phosphate-phosphorus","0.0242","mg/l"
"7757",2005,"Phosphate-phosphorus","0.107","mg/l"
"7758",2003,"Phosphate-phosphorus","0.600","mg/l"
"7765",1997,"Phosphate-phosphorus","0.120","mg/l"
"7768",1999,"Phosphate-phosphorus","0.116","mg/l"
"7780",2000,"Phosphate-phosphorus","0.144","mg/l"
"7785",1997,"Phosphate-phosphorus","0.134","mg/l"
"7789",1996,"Phosphate-phosphorus","0.234","mg/l"
"7803",1996,"Phosphate-phosphorus","0.134","mg/l"
"7808",1995,"Phosphate-phosphorus","0.144","mg/l"
"7809",1997,"Phosphate-phosphorus","0.305","mg/l"
"7814",2001,"Phosphate-phosphorus","0.111","mg/l"
"7820",2000,"Phosphate-phosphorus","0.094","mg/l"
"7824",1995,"Phosphate-phosphorus","0.057","mg/l"
"7829",2005,"Phosphate-phosphorus","0.198","mg/l"
"7832",1999,"Phosphate-phosphorus","0.136","mg/l"
"7833",1999,"Phosphate-phosphorus","0.116","mg/l"
"7853",2009,"Phosphate-phosphorus","0.110","mg/l"
"7856",2011,"Phosphate-phosphorus","0.046","mg/l"
"7858",2011,"Phosphate-phosphorus","0.680","mg/l"
"7865",2014,"Phosphate-phosphorus","0.0992","mg/l"
"7872",2007,"Phosphate-phosphorus","0.138","mg/l"
"7879",2008,"Phosphate-phosphorus","0.037","mg/l"
"7882",2008,"Phosphate-phosphorus","0.069","mg/l"
"7884",2010,"Phosphate-phosphorus","0.070","mg/l"
"7887",2009,"Phosphate-phosphorus","0.044","mg/l"
"7903",1990,"Phosphate-phosphorus","0.103","mg/l"
"7908",1989,"Phosphate-phosphorus","0.03","mg/l"
"7913",1990,"Phosphate-phosphorus","0.45","mg/l"
"7936",1992,"Phosphate-phosphorus","0.33","mg/l"
"7943",1993,"Phosphate-phosphorus","0.078","mg/l"
"7955",1995,"Phosphate-phosphorus","0.212","mg/l"
"7956",2009,"Phosphate-phosphorus","0.148","mg/l"
"7960",2009,"Phosphate-phosphorus","0.163","mg/l"
"7963",2012,"Phosphate-phosphorus","0.021","mg/l"
"7974",2014,"Phosphate-phosphorus","0.0887","mg/l"
"8015",2014,"Phosphate-phosphorus","0.110","mg/l"
"8035",2016,"Phosphate-phosphorus","0.0855","mg/l"
"8038",2016,"Phosphate-phosphorus","0.431","mg/l"
"8045",2018,"Phosphate-phosphorus","0.120","mg/l"
"8048",2019,"Phosphate-phosphorus","0.240","mg/l"
"8049",2019,"Phosphate-phosphorus","0.303","mg/l"
"8065",2001,"Phosphate-phosphorus","0.048","mg/l"
"8070",2003,"Phosphate-phosphorus","0.091","mg/l"
"8081",1997,"Phosphate-phosphorus","0.336","mg/l"
"8083",2003,"Phosphate-phosphorus","0.083","mg/l"
"8091",2002,"Phosphate-phosphorus","0.193","mg/l"
"8094",2005,"Phosphate-phosphorus","0.028","mg/l"
"8101",2001,"Phosphate-phosphorus","0.009","mg/l"
"8102",2000,"Phosphate-phosphorus","0.156","mg/l"
"8104",2001,"Phosphate-phosphorus","0.217","mg/l"
"8128",2002,"Phosphate-phosphorus","0.070","mg/l"
"8138",2009,"Phosphate-phosphorus","0.155","mg/l"
"8153",2011,"Phosphate-phosphorus","0.067","mg/l"
"8171",2007,"Phosphate-phosphorus","0.056","mg/l"
"8175",2011,"Phosphate-phosphorus","0.031","mg/l"
"8177",2011,"Phosphate-phosphorus","0.378","mg/l"
"8181",2015,"Phosphate-phosphorus","0.0750","mg/l"
"8193",2008,"Phosphate-phosphorus","0.529","mg/l"
"8196",2008,"Phosphate-phosphorus","0.028","mg/l"
"8201",2010,"Phosphate-phosphorus","0.130","mg/l"
"8205",2010,"Phosphate-phosphorus","0.058","mg/l"
"8215",1990,"Phosphate-phosphorus","0.110","mg/l"
"8217",1990,"Phosphate-phosphorus","0.097","mg/l"
"8220",1989,"Phosphate-phosphorus","0.32","mg/l"
"8231",1990,"Phosphate-phosphorus","0.114","mg/l"
"8235",1991,"Phosphate-phosphorus","0.124","mg/l"
"8242",1990,"Phosphate-phosphorus","0.048","mg/l"
"8245",1993,"Phosphate-phosphorus","0.26","mg/l"
"8252",1994,"Phosphate-phosphorus","0.20","mg/l"
"8253",1994,"Phosphate-phosphorus","","mg/l"
"8257",1991,"Phosphate-phosphorus","0.113","mg/l"
"8261",1992,"Phosphate-phosphorus","0.090","mg/l"
"8278",2010,"Phosphate-phosphorus","0.029","mg/l"
"8286",2012,"Phosphate-phosphorus","0.182","mg/l"
"8346",2013,"Phosphate-phosphorus","0.0738","mg/l"
"8351",2016,"Phosphate-phosphorus","0.0446","mg/l"
"8357",2016,"Phosphate-phosphorus","0.0543","mg/l"
"8378",2016,"Phosphate-phosphorus","0.0175","mg/l"
"8380",2018,"Phosphate-phosphorus","0.0193","mg/l"
"8391",1998,"Phosphate-phosphorus","0.034","mg/l"
"8399",2005,"Phosphate-phosphorus","0.145","mg/l"
"8410",1998,"Phosphate-phosphorus","0.122","mg/l"
"8419",2000,"Phosphate-phosphorus","0.132","mg/l"
"8422",2003,"Phosphate-phosphorus","0.101","mg/l"
"8432",2003,"Phosphate-phosphorus","0.057","mg/l"
"8438",1999,"Phosphate-phosphorus","0.116","mg/l"
"8446",1999,"Phosphate-phosphorus","0.145","mg/l"
"8449",1996,"Phosphate-phosphorus","0.032","mg/l"
"8455",2000,"Phosphate-phosphorus","0.111","mg/l"
"8470",2004,"Phosphate-phosphorus","0.026","mg/l"
"8485",2008,"Phosphate-phosphorus","0.088","mg/l"
"8508",2008,"Phosphate-phosphorus","0.036","mg/l"
"8510",2010,"Phosphate-phosphorus","0.136","mg/l"
"8514",2010,"Phosphate-phosphorus","0.168","mg/l"
